,name,year,0,1
0,Jason Adam,2018.0,0.5671627129239569,0.432837287076043
2,Austin Adams,2018.0,0.23864186927290354,0.7613581307270965
15,Matt Albers,2018.0,0.19482223012472133,0.8051777698752787
17,Sandy Alcantara,2018.0,0.35141789425122905,0.648582105748771
19,Victor Alcantara,2018.0,0.4661527237562114,0.5338472762437886
23,Scott Alexander,2018.0,0.897472575317271,0.102527424682729
30,Cody Allen,2018.0,0.7695880687065672,0.23041193129343282
33,Miguel Almonte,2018.0,0.1987955529343911,0.8012044470656089
34,Yency Almonte,2018.0,0.3852529404539212,0.6147470595460788
37,Dan Altavilla,2018.0,0.47039431317602354,0.5296056868239765
43,Jose Alvarez,2018.0,0.9424468605137125,0.05755313948628747
53,Brett Anderson,2018.0,0.5107652773921554,0.4892347226078446
58,Chase Anderson,2018.0,0.7212249514566287,0.27877504854337126
60,Drew Anderson,2018.0,0.4300970227868057,0.5699029772131943
61,Justin Anderson,2018.0,0.8812053082902086,0.11879469170979143
62,Tanner Anderson,2018.0,0.2569850370496226,0.7430149629503774
65,Tyler Anderson,2018.0,0.9093131247089394,0.09068687529106059
69,Matt Andriese,2018.0,0.7290689861844688,0.27093101381553125
71,Victor Arano,2018.0,0.9042940770657623,0.0957059229342377
72,Pedro Araujo,2018.0,0.3672192524147563,0.6327807475852437
79,Chris Archer,2018.0,0.8891456223791102,0.11085437762088979
88,Jake Arrieta,2018.0,0.9166255610955149,0.08337443890448516
92,Alec Asher,2018.0,0.23685307065013161,0.7631469293498684
99,Luis Avilan,2018.0,0.9251197315774066,0.07488026842259343
109,John Axford,2018.0,0.6803677821778515,0.3196322178221485
114,Pedro Baez,2018.0,0.8091915021954292,0.19080849780457074
115,Sandy Baez,2018.0,0.25512718772054466,0.7448728122794553
127,Homer Bailey,2018.0,0.2728446500333299,0.7271553499666701
129,Anthony Banda,2018.0,0.30313015150746403,0.696869848492536
132,Johnny Barbato,2018.0,0.2389592436550273,0.7610407563449727
133,Luke Bard,2018.0,0.2818578142808854,0.7181421857191146
134,Scott Barlow,2018.0,0.3813471941495584,0.6186528058504416
137,Danny Barnes,2018.0,0.6027683360764349,0.3972316639235652
140,Jacob Barnes,2018.0,0.8068942978929181,0.19310570210708192
145,Matt Barnes,2018.0,0.9477376175632816,0.05226238243671848
148,Tony Barnette,2018.0,0.551106310434291,0.448893689565709
152,Kyle Barraclough,2018.0,0.7576519969586557,0.2423480030413443
155,Jake Barrett,2018.0,0.2998983544897552,0.7001016455102448
156,Jaime Barria,2018.0,0.8175930913833315,0.18240690861666853
157,Tyler Bashlor,2018.0,0.420065642996605,0.579934357003395
164,Anthony Bass,2018.0,0.31801687192296035,0.6819831280770396
168,Chris Bassitt,2018.0,0.5241119068983244,0.47588809310167557
175,Trevor Bauer,2018.0,0.9981359013433505,0.001864098656649523
178,Buddy Baumann,2018.0,0.2310809783258001,0.7689190216741999
179,Gerson Bautista,2018.0,0.24531999953631456,0.7546800004636854
183,Chris Beck,2018.0,0.3229179755162016,0.6770820244837984
188,Cam Bedrosian,2018.0,0.8925842478847315,0.10741575211526853
189,Tyler Beede,2018.0,0.45660183619618144,0.5433981638038186
190,Jalen Beeks,2018.0,0.34879327117266246,0.6512067288273375
205,Matt Belisle,2018.0,0.20094294413437142,0.7990570558656286
211,Jeff Beliveau,2018.0,0.17386613430617281,0.8261338656938272
213,Chad Bell,2018.0,0.2652989907564841,0.7347010092435159
218,Christian Bergman,2018.0,0.29034344363502307,0.7096565563649769
221,Jose Berrios,2018.0,0.9738925146199131,0.026107485380086885
228,Dellin Betances,2018.0,0.9282669938548821,0.07173300614511786
234,Chad Bettis,2018.0,0.6205846267632448,0.3794153732367552
237,Joe Biagini,2018.0,0.5628335894951655,0.43716641050483457
239,Austin Bibens-Dirkx,2018.0,0.5464980436504188,0.4535019563495813
240,Jesse Biddle,2018.0,0.8451699949154121,0.15483000508458783
241,Shane Bieber,2018.0,0.9001877794212493,0.09981222057875076
244,Ty Blach,2018.0,0.8007540355943312,0.1992459644056688
245,Ray Black,2018.0,0.46175544664397694,0.5382445533560231
